…分之… | Fraction
一天到晚 | All day
一天天 | Day by day
一头 | One end
一奈 | A little
一套 | A set
一女一男 | One daughter
一如 | As
一如既往 | As always
一孔 | One hole
一字 | One character
一字一句 | Word for word
一字之差 | One word difference
一学 | One semester
一定 | Must
一定量 | Certain amount
一宵 | One night
一家 | Family
一家一户 | Household by Household
一家亲 | Family
一家人 | Family
一家子 | A family
一家老小 | The whole family
一寸 | An inch
一对 | Pair
一对一 | One-on-one
一寻缘 | A fleeting encounter
一封 | A letter
一封信 | A letter
一尊 | One Statue
一小 | A small one
一小包 | A small package
一小块 | A small piece
一小堆 | A small pile
一小片 | A small piece
一小部分 | A small part
一尘不染 | Spotless
一尝 | To try
一尺 | One foot
一局 | Set
一层 | A layer
一层层 | Layer by layer
一层楼 | 
一届 | Term
一屋 | One room
一展身手 | To show one's skills
一屠 | One slaughter
一山 | One mountain
一山山 | One mountain and one mountain (idiomatic
一山拦 | Obstruction on a mountain
一岁一枯 | One Year
一川 | One river valley
一己 | A little
一巴掌 | A slap
一帆风顺 | Smooth sailing
一帖 | A prescription
一带 | Area
一席之地 | A foothold
一席话 | A few words
一帮 | A group of
一幅 | One painting
一幅幅 | One by one
一幕 | Scene
一幕幕 | Scene after Scene
一幢 | A building
一幢幢 | One after another
一干 | Dry
一干二净 | Spotless
一平步 | One step
一年 | Year
一年一度 | Once a year
一年之计在于春 | Spring is the Key to a Year's Plans
一年到头 | All year round
一年四季 | Four seasons
一年期 | One-Year Term
一年生 | Freshman
一年级 | First grade
一并 | Altogether
一应 | All
一应俱全 | Complete
一庙 | One temple
一度 | Once
一座 | A
一座座 | One by One
一座皆惊 | An entire mountain range was startled
一开 | At the start
一张 | One sheet
一张白纸 | A blank sheet of paper
一弯 | One crescent
一弹 | One snap
一彩幻 | One colorful illusion
一往情深 | Deeply in Love
一径 | Small path
一律 | All
一律平等 | Equality for all
一心 | Wholeheartedly
一心一意 | Wholeheartedly
一必 | One must
一忙 | Busy
一怒 | With one rage
一怒之下 | In a fit of anger
一急 | Suddenly
一怪峰 | One strange peak
一息 | One breath
一惊 | Startled
一想 | To think
一意孤行 | Single-minded
一成不变 | Unchanged
一战 | One battle
一截 | A section
一户 | Household
一所 | One building
一扇 | One door
一扇门 | A door
一手 | One hand
一打 | Dozen
一扣 | One click
一扫 | To sweep away
一扫光 | To sweep clean
一扫空 | Clean sweep
一扫而空 | Swept Away Completely
一扬 | To raise
一批 | A batch
一批批 | In batches
一技之长 | Specialty
一把 | One
一把手 | Leader
一把抓 | To grab with one hand
一把汗 | A drop of sweat
一抖 | Yi Dou
一折 | One fold
一抹 | A trace
一担 | A basketful
一拉 | One pull
一拉便 | As soon as one pulls
一拔 | One pull
一招 | One trick
一拨 | A wave
一拳 | One punch
一挂 | A set
一指 | One finger
一指厚 | One finger thick
一挥 | With one wave
一挥车 | To wave a hand to drive off
一捆 | Bundle
一换 | One exchange
一排 | Row
一排排 | In rows
一探 | To investigate
一提会 | At the mention of
一握 | To hold firmly
一揽子 | Package
一摊 | A puddle
一摞 | A stack
一摸 | To imitate
一支 | A bunch
一放 | A moment's rest
一整块 | Whole piece
一整天 | All day
一整套 | A complete set
一整张 | An entire sheet
一文 | One penny
一文钱 | One Penny
一斗 | One bushel (of grain
一斤 | One kilogram
一新 | Newly
一方 | A piece of land
一方水土养一方人 | One inch of soil and earth nurtures one man
一方面 | 
一旁 | Side
一旋 | One turn
一无所有 | Nothing
一无所知 | Know nothing
一日 | One day
一日三餐 | Three Meals a Day
一日不见 | One day not seeing
一旦 | Once
一早 | Early in the morning
一时 | For a moment
一时之间 | For a moment
一时期 | A period of time
一时间 | At one time
一是 | It is one
一显身手 | To show one's abilities
一晃 | In a flash
一晚 | One night
一景 | One scene
一景画 | Landscape Painting
一曝十寒 | To experience ten times the cold from a single exposure
一曲 | A piece
一曲曲 | songs
一月 | January
一月份 | January
一有 | As soon as
一服 | Dose
一望 | At a glance
一望无垠 | Vast and boundless
一望无边 | As far as the eye can see
一望无际 | Endless
一朝一夕 | Overnight
一期 | One period
一本 | One volume
一朱 | (This term needs context - likely refers to a specific type of brick or tile. Possible translations: Red Brick
一朵 | One flower
一朵花 | One flower
一杆 | Gun
一束 | A bundle
一条 | One (river
一条条 | One by one
一条线 | One line
一条街 | One Street
一条龙 | One dragon
一来一去 | Coming and going
一杯 | A Glass
一板 | One sheet
一板持 | With one plate
一枚 | One (coin
一枝 | One branch
一架 | One (airplane
一柄 | One (sword
一某 | Myself
一查 | A quick check
一栋 | One Building
一栋栋 | One building after another
一栏 | One column
一树 | One tree
一树高 | One tree tall
一株 | One plant
一样 | Same
一根 | One stick
一格 | One square
一栽 | Lean
一案 | The case
一桌 | One table
一桥 | One bridge
一桩 | One case
一桶 | One barrel
一梦 | A dream
一棍 | One stick
一棵 | One tree
一棵树 | One tree
一楫 | One oar
一楫楫 | One oar after another
一概 | All
一概而论 | Generalize
一模一样 | Exactly the same
一横箱 | One horizontal box
一次 | Once
一次函数 | Linear Function
一次性 | Disposable
一次方程 | Linear equation
一次次 | Repeatedly
一次能源 | Primary Energy
一款 | A model
一歇 | A short rest
一歇待 | A temporary stop
一正 | One correct
一步 | One step
一步步 | Step by step
一歪身 | To lean
一死 | One death
一段 | Passage
一段时间 | A period of time
一段段 | Segment by segment
一段落 | Paragraph
一段话 | A passage
一段距离 | A distance
一段路 | A section of road
一毛不拔 | Stingy
一毫 | A single grain
一氏 | One family
一气 | All at once
一气呵成 | One continuous stroke
一氧化氮 | Nitric oxide
一氧化碳 | Carbon monoxide
一氯甲烷 | Chloromethane
一求 | A single attempt
一江春水向东流 | A river of spring water flows eastward
一汽 | FAW
一沓 | Bundle
一泓 | A pool
一法郎 | One franc
一波 | Wave
一波三折 | A roller coaster of events
一泻 | Flowing down
一洗 | To wash away
一洼 | Small Puddle
一派 | Faction
一流 | First-class
一测 | First test
一清二楚 | Perfectly clear
一湖 | One lake
一湾 | Bay
一溃 | To collapse
一溜 | Run
一滩 | A puddle
一滴 | One drop
一滴水 | A drop of water
一炬 | With a torch
一点 | A little
一点一滴 | Drop by drop
一点一点 | Little by little
一点儿 | A little
一点四十五分 | 1:45 PM
一点多 | A little more than
一点点 | A little bit
一点钟 | One o'clock
一烧 | One burning
一热 | A little hot
一熟 | One harvest
一片 | A piece of
一片丹心 | A steadfast heart
一片焦土 | A scorched earth
一片片 | In pieces
一片空白 | A blank slate
一物 | One thing
一狼 | One wolf
一狼径 | A path like a wolf
一狼洞 | A cave like a wolf
一猪 | One pig
一环 | One ring
一班 | A group of
一球 | One Ball
一瓢 | A small bucket
一瓣 | One petal
一瓶 | A bottle
一生 | Lifetime
一用 | Use once
一由 | One reason
一甲 | One hundred catties
一画 | One frame
一番 | A round of
一番话 | A piece of talk
一疼 | A sharp pain
一痕 | Trace
一登 | One step
一百 | One hundred
一百一十 | One Hundred and Ten
一百万 | One million
一百三十 | One hundred thirty
一百个 | One Hundred
一百五十 | One hundred fifty
一百五十里 | One Hundred and Fifty Li
一百余 | Over one hundred
一百余名 | Over one hundred
一百八 | A large amount
一百六十 | One hundred sixty
一百分 | 100%
一百单八将 | One hundred and eighty
一百只 | One hundred
一百名 | One hundred men
一百周年 | 100th anniversary
一百四十 | One Hundred and Forty
一百四十四 | One hundred and fourteen
一百多 | Over one hundred
一百多年 | Over one hundred years
一百多张 | Over a hundred sheets
一百多种 | Hundreds of varieties
一百多间 | Over a hundred rooms
一百年 | One hundred years
一百米 | One hundred meters
一百零八个 | One hundred and eight
一百颗 | One hundred pieces
一盆 | A pot
一盏 | One
一盏灯 | A lamp
一盏盏 | One by one (lamps
一盒 | A box
一盖 | One Lid
一盘 | One Dish
一盘散沙 | A scattered bowl of sand
一盛 | One time
一目了然 | Clear at a glance
一目数行 | Glance at a line
一直 | Always
一省 | One province
一看 | To look at
一眨眼 | In the blink of an eye
一眼 | Glance
一着 | First move
一睹 | To take a look at
一瞥 | Glance
一瞧 | A glance
一瞬 | Instant
一瞬间 | Moment
一短棍 | One short stick
一石 | One stone
一碗 | One bowl
一碟 | A dish
一碧万顷 | Yībì wànqǐng - One green expanse
一碰 | At one touch
一碳 | Monocarbon
一票 | One vote
一离 | One departure
一种 | A kind of
一秒钟 | One second
一移 | Move a little
一程 | A journey
一空 | Fully booked
一窝待 | Waiting in a nest
一站 | One stop
一站式 | One-stop
一站站 | One stop at a time
一章 | One chapter
一端 | One end
一笑 | A smile
一笑了之 | Brushed it off
一笔 | Stroke
一笔带过 | To pass over lightly
一等 | First class
一等功 | First Class Merit
一等奖 | First prize
一筒 | A Bucketful
一答 | Question
一筹莫展 | Helpless
一算 | One calculation
一箩 | A Basketful
一箪食 | A single set of food
一箱 | One box
一篇 | One article
一米 | One meter
一类 | One kind
一粒 | One grain
一粥 | A small amount of rice
一系列 | Series
一级 | First class
一纸 | A piece of paper
一线 | Front line
一线希望 | A glimmer of hope
一组 | A group
一经 | Once
一绕 | One circle
一给祥子 | To pretend to be foolish
一统 | Unify
一绳 | One rope
一缕 | A strand
一缝 | One seam
一缸 | A large jar
一群 | A group
一群群 | Groups of
一翅飞 | One wing flies
一翘 | A gesture
一翻 | One turn
一翼 | Right wing
一老 | An old man
一考 | A test
一耕夫 | A single farmer
一耸 | One shrug
一肚子火 | To be full of anger
一股 | A force
一股劲 | A burst of energy
一股脑儿 | All at once
一背 | Backstroke
一能 | One ability
一脉 | Lineage
一脉相承 | Inherited from one generation to the next
一脚 | One footstep
一脸 | With a full face
一臂 | One arm
一致 | Consistent
一致同意 | Unanimous Agreement
一致性 | Consistency
一致意见 | Consensus
一舟 | One boat
一般 | General
一般化 | Generalization
一般性 | General
一般无二 | Essentially the same
一般来讲 | Generally speaking
一般来说 | Generally speaking
一般而言 | Generally speaking
一般说来 | Generally Speaking
一艘 | One ship
一艘船 | A ship
一色 | All
一节 | Section
一节课 | One lesson
一英寸 | One inch
一英里 | One mile
一莫路 | One Mo Road
一落千丈 | To fall from grace
一行 | Group
一行行 | Line by Line
一衡 | A level
一补 | One repair
一袋 | One bag
一要 | First
一见 | At first sight
一视同仁 | Treat Everyone Equally
一览 | To overlook
一角 | Corner
一触 | Touch
一触即发 | Could happen at any moment
一言 | A word
一言一行 | Every word and deed
一言不发 | Silent
一言堂 | One-man show
一言蔽之 | In a nutshell
一记 | One (hit
一讲 | A word
一访 | A brief visit
一词 | Word
一诗 | One Poem
一语 | One word
一语中的 | Spot on
一说 | A saying
一说定 | One says
一请 | One request
一读 | Upon reading
一课 | A lesson
一调 | A change of tune
一豆 | A small amount
一贫如洗 | Reduced to Poverty
一贯 | Consistent
一贯性 | Consistency
一走 | To slip away
一起 | Together
一趟 | One trip
一足 | One foot
一跃 | One leap
一跤 | One step
一路 | All the way
一路上 | All the way
一路平安 | Safe journey
一路顺风 | Bon voyage
一蹬 | To pedal
一蹴而就 | Achieve in one go
一身 | Whole body
一身是胆 | Brave
一车 | One cartload
一转 | Turn
一轮 | A cycle
一轴挂 | Hanging on a single axis
一辆 | One
一辆车 | One Car
一辈 | Generation
一辈子 | Lifetime
一辩 | First argument
一边 | Side
一过 | A moment
一连 | In a row
一连串 | Series
一连几天 | For several days
一选自 | One selected from
一通 | A phone call
一遇 | Once
一遍 | Once
一道 | Together
一道道 | One by one
一遭 | Encounter
一部 | A volume
一部分 | Part
一里 | One li
一量 | One measure
一针一线 | Drop by drop
一针见血 | Hit the nail on the head
一钩 | One hook
一锅 | One pot
一锅粥 | Mess
一锱四 | One measure
一长一短 | Alternating
一长串 | A Long String
一门 | A subject
一闪 | Flash
一闪而过 | A flash of
一问 | One question
一问一答 | Question and answer
一闰 | One leap year
一间 | Room
一闾 | A neighborhood
一队 | A team
一防二 | First defense
一防二是 | One defense
一阵 | A burst
一阵一阵 | Intermittently
一阵子 | For a while
一阵风 | A gust of wind
一隅 | A corner
一雁声 | The sound of a single goose
一集 | One episode
一霎时 | For a moment
一面 | One side
一面镜子 | A mirror
一面面 | A face
一音 | One tone
一页 | One page
一顶 | 
一项 | Yi Jian
一顾 | Glance at
一顿 | Meal
一顿饭 | One meal
一颗 | One (seed
一颗颗 | Several
一颠 | Upside down
一颤 | Shiver
一食 | One meal
一餐 | One meal
一饭 | A single meal
一首 | A poem
一首五 | One verse five
一首歌 | A song
一马 | One horse
一马平川 | Flat Plain
一髻 | One bun
一鹤 | One crane
一黑 | One black
一鼓 | One drumbeat
一鼓作气 | Press on
一鼓地 | With one drumbeat
一齐 | Together
丁中 | Ding Zhong (This likely refers to a specific person or concept within a particular field. Without context
丁二烯 | 1
丁卯年 | The 13th year of the sexagenary cycle
丁在 | Ding is present
丁字 | Right-angle
丁字形 | Kite-Shaped
丁宁 | Ding Ning
丁曙田旭 | Ding Shuduan Xu
丁某 | Mr. Ding
丁此 | At this moment
丁毅 | Ding Yi
丁氏 | Ding clan
丁汝昌 | Ding Yucheng
丁烯 | Butene
丁烷 | Butane
丁玲 | Ding Ling
丁秋 | Ding Qiu
丁肇中 | Ding Zhaozhong
丁醇 | Butanol
丁香 | Cloves
七一 | July 1st
七七事变 | July 7 Incident
七七八八 | Roughly
七万 | Seventy thousand
七上八下 | To be uneasy
七个 | Seven
七九 | Seven Nine
七九年 | 79 AD
七人 | Seven people
七八 | Seven or eight
七八个 | About seven or eight
七八千 | Seven or eight thousand
七八寸 | Seven or Eight Inches
七八岁 | Seven or eight years old
七八年 | Seven or eight years
七八斤 | Seven or eight catties
七八步 | Seven or eight steps
七八百 | Seven or eight hundred
七八里 | Seven or eight miles
七分 | Seven-tenths
七前 | Seven days before
七十 | Seventy
七十一 | Seventy-one
七十七 | Seventy-seven
七十七国集团 | G77
七十三岁 | Seventy-three years old
七十二 | Seventy-two
七十二变 | Seventy-two changes
七十年代 | 1970s
七千 | Seven thousand
七卷 | Seven volumes
七号 | Number Seven
七嘴八舌 | Chatter
七夕 | The Double Seventh Festival
七大 | Seven Masters
七大洲 | Seven Continents
七天 | Seven days
七子 | Seven Sons of Heaven
七寸 | Seven inches
七尺 | Seven feet
七层 | Seven Layers
七届 | Seventh Session
七岁 | Seven years old
七巧板 | Tangram
七年 | Seven years
七年级 | Grade Seven
七张 | Seven records
七律 | Seven-character regulated verse
七情六欲 | Seven Emotions and Six Senses
七成 | Seven out of ten
七数 | Seven count
七日 | Seven days
七旬 | Seventy Years Old
七时 | Seven hours
七星 | Seven stars
七月 | July
七条 | Seven items
七次 | Seven times
七点钟 | Seven o'clock
七百余里 | Seven Hundred and More Li
七百里 | Seven Hundred Miles
七省 | Seven Provinces
七种 | Seven kinds
七科 | Seven Subjects
七等分 | Seven divisions
七篇 | Seven Chapters
七经 | The Seven Classics
七绝 | Seven-Character Poem
七色 | Seven colors
七言 | Seven-character
七课 | Seventh lesson
七辆 | Seven
七里 | Seven Miles
万一 | In case
万万 | Absolutely
万丈 | Ten thousand feet
万不得已 | Absolutely necessary
万世 | Ten thousand years
万世一 | For ten thousand generations
万世师表 | Model for all ages
万两 | Ten thousand taels
万个 | Ten Thousand
万事 | Everything
万事万物 | All things
万事兴 | Everything will prosper
万亩 | Ten thousand mu
万人 | Ten thousand people
万人次 | Ten Thousand Times
万人海 | Ten Thousand Sea
万亿 | Trillion
万亿元 | Ten billion yuan
万亿次 | Trillion times
万亿美元 | Trillions of dollars
万件 | Ten Thousand
万伏 | Ten Thousand Volts
万众 | The whole world
万众一心 | One mind
万余 | Ten thousand or more
万余人次 | Ten thousand or more people
万余件 | Thousands of pieces
万余名 | Ten thousand or more people
万余次 | Ten thousand times or more
万例 | Ten thousand cases
万俊人成 | Wan Jun Ren Cheng
万倍 | Ten thousand times
万像 | Ten Thousand Images
万元 | Ten thousand yuan
万元户 | Millionaire
万光年 | Million light-years
万公顷 | Ten thousand hectares
万内 | Within ten thousand
万册 | Ten thousand copies
万击 | Ten thousand blows
万刀 | Ten Thousand Swords
万分 | Extremely
万列 | Ten thousand
万到 | Ten thousand
万千 | Countless
万千克 | 10
万千瓦 | Ten thousand watts (10
万千米 | Ten thousand kilometers
万历 | Wanli
万古 | Ten Thousand Years
万古不变 | Unchanging for ten thousand ages
万古长青 | Evergreen
万叶 | Ten Thousand Leaves
万名 | Ten thousand
万吨 | 10
万吨级 | 10
万国 | The world
万国宫 | Hall of Nations
万国邮政联盟 | Universal Postal Union
万圣节 | Halloween
万块 | Ten thousand pieces
万声 | Ten thousand voices
万多 | Approximately ten thousand
万多个 | Ten thousand plus
万多亩 | Several hundred acres
万多件 | Tens of thousands
万多份 | Thousands of copies
万多元 | Ten thousand plus
万多千米 | Ten thousand kilometers or more
万多平方米 | Ten Thousand Plus Square Meters
万多座 | Thousands of
万夫 | Ten thousand men
万安 | Ten Thousand Miles
万家 | All households
万寿山 | Wan Shou Mountain
万尼亚 | 
万山 | Ten thousand mountains
万山红 | Wan Shan Hong
万岁 | Long live
万州 | Wanxian
万幕 | A vast array of scenes or events
万平方公里 | Ten Thousand Square Kilometers
万平方米 | Ten Thousand Square Meters
万年 | Ten thousand years
万年前 | Ten thousand years ago
万年青 | Evergreen Plant
万幸 | Fortunately
万张 | Ten thousand
万恶 | Evil
万户 | County Magistrate
万摄氏度 | Ten thousand degrees Celsius
万无一失 | No risk
万是 | All are
万有引力 | Universal gravitation
万木 | Ten thousand trees
万木春 | Ten thousand trees in spring
万条 | Ten Thousand
万树梨花 | Ten Thousand Pear Blossom Trees
万棵 | Ten thousand trees
万民 | Ten thousand people
万民法 | Law of the People
万水 | Ten thousand waters
万水千山 | Oceans
万炮 | Ten thousand cannons
万物 | All things
万用表 | Multimeter
万神庙 | Temple of Zeus
万种 | Various
万章 | Ten thousand chapters
万答 | Ten thousand answers
万籁 | All sounds
万籁俱寂 | Silence of all sounds
万米 | Ten thousand meters
万类 | All kinds of things
万紫千红 | A myriad of purple and red
万红万祎孙 | Wan Hong Wan Yi Sun
万维网 | World Wide Web
万能 | Omnipotent
万般无奈 | Countless helplessness
万船 | Ten thousand ships
万花 | A myriad of flowers
万花筒 | Kaleidoscope
万荣 | Ten thousand glories
万萼 | Ten Thousand Lotus Flowers
万象 | Wanshang
万象更新 | A new beginning
万贯家私 | Vast wealth and possessions
万辆 | Ten thousand vehicles
万邦 | The world
万里 | Ten thousand li
万里无云 | Clear skies
万里长城 | The Great Wall
万金 | Ten thousand pieces of gold
万钟 | Ten thousand chimes
万钢 | 
万钱 | Ten thousand pieces of silver
万间 | Ten thousand
万隆 | Wanshanlou
万隆会议 | Bandung Conference
万顷 | Vast expanse
万颗 | Ten thousand
丈二宽 | Two Feet Wide
丈人 | Father
丈夫 | Husband
丈许 | About three feet
丈量 | Measure
丈长 | Village head
三七 | Three to seven (ratio
三万 | Thirty thousand
三万余 | Over thirty thousand
三万多 | Over 30
三丈 | Three spans (of land
三下 | Three times
三不即 | Three no's
三世 | Third
三丘田 | Three Hills Field
三两个 | Three or two
三两天 | Three or two days
三两日 | Three or four days
三两枝 | Three or two branches
三两步 | Three or two steps
三个 | Three
三个代表 | Three Represents
三中全会 | Third National People's Congress Standing Committee
三书 | The Three Books
三二六 | 326
三五 | Three or five
三五个 | Three or five
三五九旅 | 3rd
三五句 | Three or five lines
三五年 | Three to five years
三五株 | Three or five plants
三亚 | Sanya
三人 | Three people
三人以 | By three people
三人务于 | Three things are essential
三人及 | Three plus one
三人档 | Three Tier
三人行 | Three people walking
三代 | Three generations
三代人 | Three generations
三以 | Three-pronged approach
三件 | Three Items
三传 | Three teachings (Buddhism
三位 | Three people
三位一体 | The Trinity
三位数 | Three digits
三使 | Three Officials
三倍 | Three times
三借 | Three borrows
三元 | Three Yuan
三元里 | Sanyuan Li
三八线 | Three Eight Line
三写 | Three writings
三军 | Three Armies
三农问题 | Problems of agriculture
三分 | Three parts
三分之一 | One-third
三分之二 | Two-thirds
三分钟 | Three minutes
三列 | Three columns
三则 | Three Points
三副 | Three Sets
三北 | North China
三匹 | Three horses
三区 | Three zones
三十 | Thirty
三十一 | Thirty-one
三十一年 | Thirty-one
三十万 | Thirty Thousand
三十三章 | Thirty-three chapters
三十九 | Thirty-nine
三十五 | Thirty-five
三十五万 | Thirty-five thousand
三十五年 | Thirty-five years
三十亩 | Thirty mu
三十公里 | Thirty kilometers
三十六 | Thirty-six
三十六计 | Thirty-Six Strategies
三十几个 | Thirty-seven
三十四 | Thirty-Four
三十四岁 | Thirty-four years old
三十四年 | Thirty-four
三十多 | Thirty-something
三十多个 | Thirty or more
三十多岁 | Thirty or so years old
三十多年 | Over thirty years
三十家 | Thirty households
三十岁 | Thirty years old
三十年 | Thirty years
三十而立 | At the age of thirty
三十里 | Thirty miles
三千 | Three Thousand
三千丈 | Three thousand zhang
三千余 | More than three thousand
三千余里 | Three thousand plus miles
三千六百天 | Three thousand six hundred days
三千多 | More than three thousand
三千里 | Three thousand li
三半是 | Three parts are
三卷 | Three volumes
三厚本 | Three thick volumes
三原色 | Three primary colors
三叠纪 | Triassic
三口 | Three mouthfuls
三句 | Three lines
三句话 | Three sentences
三只 | Three
三台县 | Santai county
三叶虫 | Trilobite
三号 | Number Three
三同 | Three same
三名 | Three names
三向 | Three-way
三周 | Three weeks
三周年 | Three years
三味书屋 | Three Flavors Bookstore
三味线 | Sanxian
三品 | A third-rank official
三哼经 | Three Hummed Sutras
三唐 | Three Tang Dynasties
三四 | Three or four
三四个 | Three or four
三四分钟 | Three to four minutes
三四十 | Thirties
三四十个 | Thirty-four
三四只 | Three or four
三四天 | Three or four days
三四年 | 
三四点 | Three forty
三四百个 | Three hundred and forty
三团 | Third Company
三国 | Three Kingdoms
三国志 | Records of the Three Kingdoms
三国演义 | Romance of the Three Kingdoms
三国鼎立 | Three Kingdoms Era
三地 | Three places
三块 | Three pieces
三城 | Three Cities
三堆 | Three piles
三声 | Three tones
三处 | Three Places
三多人 | Three or More People
三大 | Three
三大战役 | San Da Zhanchaoyi
三大类 | Three main categories
