aiLov_e, 爱
yiAls_o/too, 也
yiBrig_ht, 熙
yiBrim, 溢
yiEase, 逸
yiEasy, 易
yiFoo_d, 食
yiFor_mal one, 壹
yiMeaning, 义
yiMeaning, 意
yiMot_h, 蛾
yiMov_e, 移
yiPan_creas, 胰
yiPar_ticle, 矣
yiPlag_ue, 疫
yiPlat_form, 台
yiPri_nt, 印
yiPro_fit, 益
yiRec_all, 忆
yiRel_y, 依
yiRes_train, 抑
yiSea_t, 椅
yiSec_ond, 乙
yiStr_ange, 异
yiStu_dy, 肄
yiToo, 亦
yiTow_ering, 屹
yiTra_nslate, 译
yiTre_at, 医
yinCul_tivate, 垦
yinCus_hion, 茵
yinLea_d, 引
yinLew_d, 淫
yinShade, 荫
yinShade, 阴
yinSil_ver, 银
yinSin_cere, 殷
yingHar_d, 硬
yingHaw_k, 鹰
yingSha_rp, 颖
yingShi_ne, 映
yingSho_uld, 应
yuFish, 渔
yuFish, 鱼
yuJad_e, 玉
yuJai_l, 狱
yuReg_ret/annoyed, 懊
yuRes_ist, 御
yuStub_born, 迂
yuStup_id, 愚
yuWan_t, 欲
yuWas_h, 浴
yuanCom_plain, 怨
yuanCou_rtyard, 院
yuanFar, 远
yuanFat_e, 缘
yuanSource, 原
yuanSource, 源
zaoDre_gs, 糟
zaoDry, 燥
zhaChe_at, 诈
zhaChi_rp, 喳
zhaCho_p, 铡
zhanCup, 盏
zhanCut, 斩
zhanDip, 沾
zhanDip, 蘸
zhangBar_rier, 障
zhangBat_tle, 仗
zhaoCal_l, 召
zhaoCau_se, 肇
zhaoCla_w, 爪
zhaoCle_ar, 昭
zhenRar_e, 珍
zhenRas_h, 疹
zhenShake, 振
zhenShake, 震
zhenTri_pod, 鼎
zhenTru_e, 真
zhiBra_nch, 支
zhiBre_ed, 殖
zhiKni_t, 织
zhiKnow, 知
zhiKnow, 识
zhiPoi_nt, 指
zhiPos_sessive, 之
zhiRel_y on, 恃
zhiRes_ist, 抵
zhiSen_d, 致
zhiSes_ame, 芝
zhiSin_cere, 挚
zhiSit_e, 址
zhiSto_p, 止
zhiStu_ffy, 窒
zhiToe, 趾
zhiWil_l, 志
zhiWis_dom, 智
zhongMiddle, 中
zhongMiddle, 仲
zhuLig_ht, 烛
zhuLiv_e, 住
zhuPig, 猪
zhuPil_lar, 柱
zhuangDress, 妆
zhuangDress, 装
ziSee_d, 籽
ziSel_f, 自
